  wn	             sow(s)	          rcvr_x(m)	          rcvr_y(m)	          rcvr_z(m)	       rcvr_vx(m/s)	       rcvr_vy(m/s)	       rcvr_vz(m/s)	     rcvr_ax(m/s^2)	     rcvr_ay(m/s^2)	     rcvr_az(m/s^2)	     jerk_ax(m/s^3)	     jerk_ay(m/s^3)	     jerk_az(m/s^3)	         longitude(rad)	          latitude(rad)	        altitude(m)	         pitch(deg)	          roll(deg)	           yaw(deg)	        distacne(m)	     elevation(deg)	       azimuth(deg)	
 756	         487975.300	-2178358.2551891780	 4381934.4398400029	 4077088.4796316312	     -10.1809198458	      -5.1846394869	       0.1735862398	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       2.03213929666661	       0.69794101758104	      50.2037341576	       0.1321182251	       0.0000000000	      88.9826583862	     172.8571457618	       0.1348037720	      88.9762496948	
 756	         487975.400	-2178359.2759304708	 4381933.9200268295	 4077088.4970354266	     -10.2397960408	      -5.2146222147	       0.1745901550	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       2.03213953073584	       0.69794102079679	      50.2064253418	       0.1321334839	       0.0000000000	      88.9826736450	     174.0027554931	       0.1348190308	      88.9762573242	
 756	         487975.500	-2178360.3025596202	 4381933.3972153841	 4077088.5145396078	     -10.2986721632	      -5.2446049424	       0.1755939250	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       2.03213976615521	       0.69794102403105	      50.2091323389	       0.1321411133	       0.0000000000	      88.9826812744	     175.1549730813	       0.1348266602	      88.9762649536	
 756	         487975.600	-2178361.3350762073	 4381932.8714055475	 4077088.5321442927	     -10.3575483944	      -5.2745877427	       0.1765978401	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       2.03214000292468	       0.69794102728386	      50.2118550036	       0.1321563721	       0.0000000000	      88.9826889038	     176.3137985234	       0.1348342896	      88.9762802124	
 756	         487975.700	-2178362.3734804713	 4381932.3425975563	 4077088.5498492438	     -10.4164245531	      -5.3045703980	       0.1776016102	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       2.03214024104425	       0.69794103055516	      50.2145934310	       0.1321640015	       0.0000000000	      88.9826965332	     177.4792318215	       0.1348419189	      88.9762954712	
 756	         487975.800	-2178363.4177723527	 4381931.8107912932	 4077088.5676545785	     -10.4753007118	      -5.3345531257	       0.1786054528	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       2.03214048051393	       0.69794103384498	      50.2173475996	       0.1321716309	       0.0000000000	      88.9827117920	     178.6512729748	       0.1348495483	      88.9763031006	
 756	         487975.900	-2178364.4679518514	 4381931.2759867571	 4077088.5855602990	     -10.5341768704	      -5.3645358535	       0.1796092954	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       2.03214072133372	       0.69794103715332	      50.2201175122	       0.1321792603	       0.0000000000	      88.9827117920	     179.8299219836	       0.1348571777	      88.9763183594	
 756	         487976.000	-2178365.5240189671	 4381930.7381839491	 4077088.6035664035	     -10.5930530654	      -5.3945186538	       0.1806131380	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       2.03214096350362	       0.69794104048019	      50.2229031734	       0.1321945190	       0.0000000000	      88.9827194214	     181.0151788469	       0.1348724365	      88.9763259888	
 756	         487976.100	-2178366.5914834128	 4381930.2072702227	 4077088.6081875688	     -10.7238168332	      -5.3070610066	       0.0180393647	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       2.03214120713240	       0.69794104105940	      50.2257009028	       0.1319351196	       0.0000000000	      90.0058975220	     182.2073970214	       0.1346130371	      89.9994964600	
 756	         487976.200	-2178367.6670490261	 4381929.6749884365	 4077088.6099968576	     -10.7945708049	      -5.3420761443	       0.0181583553	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       2.03214145236805	       0.69794104105941	      50.2285162397	       0.1319503784	       0.0000000000	      90.0059051514	     183.4074672531	       0.1346282959	      89.9995117188	
